model,evaluation,window_acc,window_balanced_acc,window_macro_f1,window_shockable_precision,window_shockable_recall,window_specificity,window_shockable_f1,window_roc_auc,record_balanced_acc,record_macro_f1,record_shockable_recall,record_specificity,record_roc_auc
logistic_regression,5fold_stratified_groupcv,0.6201926524112774,0.5895005156187872,0.5711442545391108,0.36103267034658615,0.5228493622476325,0.656151668989942,0.42647418472355314,0.6376067388182369,0.5582442748091603,0.5473742706307307,0.46,0.6564885496183206,
random_forest,5fold_stratified_groupcv,0.669351481096716,0.6024010689386579,0.5962866338936121,0.3994033212953723,0.4585633173761832,0.7462388205011327,0.42555898426244143,0.672943049041707,0.558587786259542,0.5592532467532467,0.35,0.767175572519084,
hist_gradient_boosting,5fold_stratified_groupcv,0.6532553646494218,0.5984895783361541,0.5884326505418823,0.38474240253248604,0.48108526115209277,0.7158938955202154,0.42620892212611894,0.6712846375491683,0.5547709923664121,0.5550946729653954,0.35,0.7595419847328244,
logistic_regression,cross_db_D1_c2015_to_others,0.4089425264615689,0.5951484915939435,0.4014905266521493,0.20682537498279896,0.8768961493582264,0.3134008338296605,0.33470660282819287,0.6683533914377828,,,,,
logistic_regression,cross_db_D2_others_to_c2015,0.6837606837606838,0.5358656984315887,0.4976441105142872,0.5569823434991974,0.11589846359385438,0.9558329332693231,0.1918717168924523,0.548554101321542,,,,,
random_forest,cross_db_D1_c2015_to_others,0.5774062716391335,0.7207221404083528,0.5469011208607308,0.2784130284130284,0.9375729288214703,0.5038713519952353,0.4293347582153353,0.7259337147813298,,,,,
random_forest,cross_db_D2_others_to_c2015,0.6819214540733528,0.5405076435476169,0.5103814677330987,0.5347043701799485,0.13894455577822312,0.9420707313170107,0.2205726405090138,0.5681889262602657,,,,,
hist_gradient_boosting,cross_db_D1_c2015_to_others,0.5514887723810465,0.7097607343927979,0.5265298098731427,0.2678630227197893,0.9492415402567095,0.4702799285288862,0.4178222907036466,0.7812864036005207,,,,,
hist_gradient_boosting,cross_db_D2_others_to_c2015,0.680028129395218,0.5391944073777255,0.5093499665325427,0.5228840125391849,0.13927855711422846,0.9391102576412226,0.21996571277858368,0.5728489170157672,,,,,
