taxonomy,model,evaluation,window_acc,window_balanced_acc,window_macro_f1,window_weighted_f1,record_balanced_acc,record_macro_f1,NSR_f1,NSR_rec,TACHY_f1,TACHY_rec,BRADY_ASY_f1,BRADY_ASY_rec,VENTRICULAR_f1,VENTRICULAR_rec,VT_f1,VT_rec,VF_VFL_f1,VF_VFL_rec
primary_4class,logistic_regression,5fold_stratified_groupcv,0.5176831613824889,0.508004050517199,0.49600372223344324,0.5178563898859869,0.5149807320356189,0.4985319026272422,0.4041113941843099,0.44435857805255025,0.6404174573055028,0.6170582320138952,0.5223177155530913,0.5914608622854751,0.4209693657414066,0.3800311607374708,,,,
primary_4class,random_forest,5fold_stratified_groupcv,0.5769528712701921,0.5575545449499876,0.5495038570641222,0.5757388149284012,0.5792404224396434,0.5726380712644416,0.4456218627997769,0.46309891808346215,0.6969879239346689,0.6885455708931346,0.5454719509860234,0.5962745918794474,0.5177763862798302,0.4831212672033238,,,,
primary_4class,hist_gradient_boosting,5fold_stratified_groupcv,0.5725083329520062,0.5553493058558527,0.546663506633452,0.5702281442457882,0.5940035536566126,0.585064850528506,0.48922593174882084,0.5110123647604328,0.6879111650258947,0.673919005393546,0.5282046198076732,0.5575554625366262,0.4968701622130982,0.47922617501947545,,,,
secondary_5class,logistic_regression,5fold_stratified_groupcv,0.47622053109971707,0.502206342919186,0.43833817105004746,0.4805775071176733,0.5051190170475871,0.45674270604656514,0.40876712328767123,0.4323802163833076,0.6178414096916299,0.5641283481122589,0.5180402582605393,0.5709501883633319,,,0.30671365941717527,0.26674641148325356,0.34057087094413274,0.6883629191321499
secondary_5class,random_forest,5fold_stratified_groupcv,0.5207007919746112,0.5373855677052058,0.48586723269536164,0.519948910404254,0.5800026470181538,0.5288570710901371,0.4229304469833634,0.40765069551777433,0.6659393824408291,0.641740561294451,0.5407050967298439,0.5761825031393889,,,0.35974882759717036,0.3383672248803828,0.44457652303120354,0.73767258382643
secondary_5class,hist_gradient_boosting,5fold_stratified_groupcv,0.5374697275524813,0.5418291726257485,0.5012757538370985,0.5390053359602869,0.5859476324990618,0.5484516489951272,0.48883865498728457,0.5013523956723338,0.6716331827357493,0.6387238321601609,0.531957928802589,0.5504395144411888,,,0.38986629134412387,0.3727571770334928,0.4330097087378641,0.6597633136094675
