feature_set,n_features,model,evaluation,window_bal_acc,window_macro_f1,window_vf_precision,window_vf_recall,window_vf_f1,window_roc_auc,record_bal_acc,record_macro_f1,record_vf_recall,record_vt_specificity,record_roc_auc
set_b_domain_stable,6,hist_gradient_boosting,5fold_stratified_groupcv,0.8354121292927029,0.7260174600781744,0.4275032916598175,0.8597758057918206,0.5678297780173048,0.8767881904648771,0.8832095945174185,0.7634609399315282,0.9411764705882353,0.8252427184466019,
set_b_domain_stable,6,logistic_regression,cross_db_D1_c2015_to_others,0.6009340247737851,0.5250825572914787,0.4467574059247398,0.8850118953211736,0.5937749401436552,0.6432513015468817,,,,,
set_b_domain_stable,6,logistic_regression,cross_db_D2_others_to_c2015,0.6465887305159623,0.6913107032605675,0.6363636363636364,0.3055555555555556,0.4128686327077748,0.7098253978177085,,,,,
set_b_domain_stable,6,random_forest,cross_db_D1_c2015_to_others,0.6102917166306743,0.5194963487972508,0.44940817105765557,0.9333862014274386,0.606701030927835,0.6991238348210489,,,,,
set_b_domain_stable,6,random_forest,cross_db_D2_others_to_c2015,0.5826744384508825,0.5492887723341038,0.14102564102564102,0.291005291005291,0.18998272884283246,0.5933604556893192,,,,,
set_b_domain_stable,6,hist_gradient_boosting,cross_db_D1_c2015_to_others,0.6300551194961355,0.53642166079802,0.46057619408642914,0.9635210150674068,0.6232367273659912,0.6740352716166935,,,,,
set_b_domain_stable,6,hist_gradient_boosting,cross_db_D2_others_to_c2015,0.6220024748250554,0.6270273062405916,0.3154848046309696,0.28835978835978837,0.3013130615065653,0.6302635306644122,,,,,
set_c_minimal_edge,4,logistic_regression,5fold_stratified_groupcv,0.7615779541814904,0.6725200627678406,0.36526128251998047,0.7270784827427484,0.48001109960245236,0.7813365273700142,0.7655625356938892,0.6957336567081909,0.7058823529411765,0.8252427184466019,
set_c_minimal_edge,4,random_forest,5fold_stratified_groupcv,0.7798513500501807,0.6796537642651467,0.3700666227399762,0.7718101238065974,0.4957429210699417,0.8581894689741963,0.7607081667618504,0.6875,0.7058823529411765,0.8155339805825242,
set_c_minimal_edge,4,hist_gradient_boosting,5fold_stratified_groupcv,0.7872420301782084,0.6767942484352291,0.36300656495577927,0.8007109914701633,0.496802527113512,0.8572045488492064,0.8392347230154198,0.7215215417213197,0.8823529411764706,0.7961165048543689,
set_c_minimal_edge,4,logistic_regression,cross_db_D1_c2015_to_others,0.6036251231378402,0.48996892372619366,0.4418103448275862,0.9754163362410785,0.6081582200247219,0.6549365092867394,,,,,
set_c_minimal_edge,4,logistic_regression,cross_db_D2_others_to_c2015,0.6314145500660879,0.6454316596685862,0.3775167785234899,0.2976190476190476,0.3328402366863905,0.5981314276981944,,,,,
set_c_minimal_edge,4,random_forest,cross_db_D1_c2015_to_others,0.6033250450901078,0.5079643863516963,0.4444444444444444,0.9357652656621729,0.6026557711950971,0.6737467576478742,,,,,
set_c_minimal_edge,4,random_forest,cross_db_D2_others_to_c2015,0.5707116263192782,0.5203539388951264,0.1111111111111111,0.32671957671957674,0.1658274588788184,0.6157042112710718,,,,,
set_c_minimal_edge,4,hist_gradient_boosting,cross_db_D1_c2015_to_others,0.6050300607251344,0.5024064433177828,0.44423929098966025,0.9540047581284695,0.6061980347694633,0.6671027043088542,,,,,
set_c_minimal_edge,4,hist_gradient_boosting,cross_db_D2_others_to_c2015,0.6113430639405883,0.5677475477009338,0.1655085281111813,0.34656084656084657,0.22402736212056434,0.6228433968611201,,,,,
